2024-12-04 20:30:17 status unpacked libfreetype6:amd64 2.12.1+dfsg-5+deb12u3
2024-12-04 20:30:17 install libfontconfig1:amd64 <none> 2.14.1-4
2024-12-04 20:30:17 status half-installed libfontconfig1:amd64 2.14.1-4
2024-12-04 20:30:17 status unpacked libfontconfig1:amd64 2.14.1-4
2024-12-04 20:30:17 install zlib1g-dev:amd64 <none> 1:1.2.13.dfsg-1
2024-12-04 20:30:17 status half-installed zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-12-04 20:30:17 status unpacked zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-12-04 20:30:17 install libpng-dev:amd64 <none> 1.6.39-2
2024-12-04 20:30:17 status half-installed libpng-dev:amd64 1.6.39-2
2024-12-04 20:30:17 status unpacked libpng-dev:amd64 1.6.39-2
2024-12-04 20:30:17 install libfreetype-dev:amd64 <none> 2.12.1+dfsg-5+deb12u3
2024-12-04 20:30:17 status half-installed libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u3
2024-12-04 20:30:17 status unpacked libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u3
2024-12-04 20:30:17 install uuid-dev:amd64 <none> 2.38.1-5+deb12u2
2024-12-04 20:30:17 status half-installed uuid-dev:amd64 2.38.1-5+deb12u2
2024-12-04 20:30:17 status unpacked uuid-dev:amd64 2.38.1-5+deb12u2
2024-12-04 20:30:17 install libpkgconf3:amd64 <none> 1.8.1-1
2024-12-04 20:30:17 status half-installed libpkgconf3:amd64 1.8.1-1
2024-12-04 20:30:17 status unpacked libpkgconf3:amd64 1.8.1-1
2024-12-04 20:30:17 install pkgconf-bin:amd64 <none> 1.8.1-1
2024-12-04 20:30:17 status half-installed pkgconf-bin:amd64 1.8.1-1
2024-12-04 20:30:17 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-12-04 20:30:17 install pkgconf:amd64 <none> 1.8.1-1
2024-12-04 20:30:17 status half-installed pkgconf:amd64 1.8.1-1
2024-12-04 20:30:17 status unpacked pkgconf:amd64 1.8.1-1
2024-12-04 20:30:17 install pkg-config:amd64 <none> 1.8.1-1
2024-12-04 20:30:17 status half-installed pkg-config:amd64 1.8.1-1
2024-12-04 20:30:17 status unpacked pkg-config:amd64 1.8.1-1
2024-12-04 20:30:17 install libfontconfig-dev:amd64 <none> 2.14.1-4
2024-12-04 20:30:17 status half-installed libfontconfig-dev:amd64 2.14.1-4
2024-12-04 20:30:17 status unpacked libfontconfig-dev:amd64 2.14.1-4
2024-12-04 20:30:17 install libfontconfig1-dev:amd64 <none> 2.14.1-4
2024-12-04 20:30:17 status half-installed libfontconfig1-dev:amd64 2.14.1-4
2024-12-04 20:30:17 status unpacked libfontconfig1-dev:amd64 2.14.1-4
2024-12-04 20:30:17 install libgdbm-dev:amd64 <none> 1.23-3
2024-12-04 20:30:17 status half-installed libgdbm-dev:amd64 1.23-3
2024-12-04 20:30:17 status unpacked libgdbm-dev:amd64 1.23-3
2024-12-04 20:30:17 install liblzma-dev:amd64 <none> 5.4.1-0.2
2024-12-04 20:30:17 status half-installed liblzma-dev:amd64 5.4.1-0.2
2024-12-04 20:30:17 status unpacked liblzma-dev:amd64 5.4.1-0.2
2024-12-04 20:30:17 install libncurses6:amd64 <none> 6.4-4
2024-12-04 20:30:17 status half-installed libncurses6:amd64 6.4-4
2024-12-04 20:30:17 status unpacked libncurses6:amd64 6.4-4
2024-12-04 20:30:17 install libncurses-dev:amd64 <none> 6.4-4
2024-12-04 20:30:17 status half-installed libncurses-dev:amd64 6.4-4
